"anio";"jurisdiccion_de_residencia_id";"jurisdicion_residencia_nombre";"edad_madre_grupo";"instruccion_madre";"tipo_de_parto_id";"tipo_de_parto_nombre";"semana_gestacion";"intervalo_peso_al_nacer";"sexo_id";"Sexo";"nacimientos_cantidad"
2023;18;"Corrientes";"5.30 a 34";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"5.2000 a 2499";2;"femenino";2
2023;22;"Chaco";"5.30 a 34";"2.Primaria/C. EGB Incompleta";1;"Simple";"2.22 a 23";"1.Menor de 500";2;"femenino";1
2023;22;"Chaco";"5.30 a 34";"2.Primaria/C. EGB Incompleta";1;"Simple";"5.32 a 36";"3.1000 a 1499";2;"femenino";1
2023;22;"Chaco";"5.30 a 34";"2.Primaria/C. EGB Incompleta";1;"Simple";"5.32 a 36";"5.2000 a 2499";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";7
2023;10;"Catamarca";"6.35 a 39";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";10
2023;10;"Catamarca";"6.35 a 39";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";3
2023;10;"Catamarca";"6.35 a 39";"7.Terciaria/Universitaria Completa";1;"Simple";"4.28 a 31";"2.500 a 999";2;"femenino";1
2023;10;"Catamarca";"6.35 a 39";"7.Terciaria/Universitaria Completa";1;"Simple";"4.28 a 31";"3.1000 a 1499";2;"femenino";2
2023;10;"Catamarca";"6.35 a 39";"7.Terciaria/Universitaria Completa";1;"Simple";"5.32 a 36";"4.1500 a 1999";2;"femenino";1
2023;66;"Salta";"3.20 a 24";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";273
2023;86;"Santiago del Estero";"5.30 a 34";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"8.De 3500 y más";2;"femenino";3
2023;86;"Santiago del Estero";"5.30 a 34";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"4.1500 a 1999";2;"femenino";1
2023;86;"Santiago del Estero";"5.30 a 34";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"5.2000 a 2499";2;"femenino";6
2023;86;"Santiago del Estero";"5.30 a 34";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";50
2023;86;"Santiago del Estero";"5.30 a 34";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";105
2023;62;"Río Negro";"2.15 a 19";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"7.3000 a 3499";2;"femenino";2
2023;62;"Río Negro";"2.15 a 19";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"8.De 3500 y más";2;"femenino";2
2023;62;"Río Negro";"2.15 a 19";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"5.2000 a 2499";2;"femenino";6
2023;62;"Río Negro";"2.15 a 19";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";25
2023;62;"Río Negro";"2.15 a 19";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";49
2023;14;"Córdoba";"6.35 a 39";"5.Secundaria/Polimodal Completa";1;"Simple";"1.Menos de 22";"1.Menor de 500";2;"femenino";1
2023;14;"Córdoba";"6.35 a 39";"5.Secundaria/Polimodal Completa";1;"Simple";"3.24 a 27";"2.500 a 999";2;"femenino";1
2023;14;"Córdoba";"6.35 a 39";"5.Secundaria/Polimodal Completa";1;"Simple";"4.28 a 31";"3.1000 a 1499";2;"femenino";1
2023;86;"Santiago del Estero";"5.30 a 34";"5.Secundaria/Polimodal Completa";1;"Simple";"5.32 a 36";"8.De 3500 y más";2;"femenino";2
2023;34;"Formosa";"5.30 a 34";"8.Sin especificar";1;"Simple";"6.37 a 41";"4.1500 a 1999";2;"femenino";2
2023;34;"Formosa";"5.30 a 34";"8.Sin especificar";1;"Simple";"6.37 a 41";"5.2000 a 2499";2;"femenino";5
2023;34;"Formosa";"5.30 a 34";"8.Sin especificar";1;"Simple";"6.37 a 41";"6.2500 a 2999";2;"femenino";43
2023;34;"Formosa";"5.30 a 34";"8.Sin especificar";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";128
2023;34;"Formosa";"5.30 a 34";"8.Sin especificar";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";77
2023;34;"Formosa";"6.35 a 39";"1.Sin instrucción";1;"Simple";"6.37 a 41";"7.3000 a 3499";2;"femenino";2
2023;34;"Formosa";"6.35 a 39";"2.Primaria/C. EGB Incompleta";1;"Simple";"4.28 a 31";"3.1000 a 1499";2;"femenino";1
2023;66;"Salta";"3.20 a 24";"5.Secundaria/Polimodal Completa";1;"Simple";"7.42 y más";"8.De 3500 y más";2;"femenino";4
2023;22;"Chaco";"2.15 a 19";"4.Secundaria/Polimodal Incompleta";1;"Simple";"7.42 y más";"6.2500 a 2999";2;"femenino";1
2023;22;"Chaco";"2.15 a 19";"4.Secundaria/Polimodal Incompleta";1;"Simple";"8.Sin especificar";"6.2500 a 2999";2;"femenino";1
